geo,name,time,Population,region
afg,Afghanistan,2022,41128771,asia
alb,Albania,2022,2842321,europe
dza,Algeria,2022,44903225,africa
and,Andorra,2022,79824,europe
ago,Angola,2022,35588987,africa
atg,Antigua and Barbuda,2022,93763,americas
arg,Argentina,2022,45510318,americas
arm,Armenia,2022,2780469,europe
aus,Australia,2022,26177413,asia
aut,Austria,2022,8939617,europe
aze,Azerbaijan,2022,10358074,europe
bhs,Bahamas,2022,409984,americas
bhr,Bahrain,2022,1472233,asia
bgd,Bangladesh,2022,171186372,asia
brb,Barbados,2022,281635,americas
blr,Belarus,2022,9534954,europe
bel,Belgium,2022,11655930,europe
blz,Belize,2022,405272,americas
ben,Benin,2022,13352864,africa
btn,Bhutan,2022,782455,asia
bol,Bolivia,2022,12224110,americas
bih,Bosnia and Herzegovina,2022,3233526,europe
bwa,Botswana,2022,2630296,africa
bra,Brazil,2022,215313498,americas
brn,Brunei,2022,449002,asia
bgr,Bulgaria,2022,6781953,europe
bfa,Burkina Faso,2022,22673762,africa
bdi,Burundi,2022,12889576,africa
khm,Cambodia,2022,16767842,asia
cmr,Cameroon,2022,27914536,africa
can,Canada,2022,38454327,americas
cpv,Cape Verde,2022,593149,africa
caf,Central African Republic,2022,5579144,africa
tcd,Chad,2022,17723315,africa
chl,Chile,2022,19603733,americas
chn,China,2022,1425887337,asia
col,Colombia,2022,51874024,americas
com,Comoros,2022,836774,africa
cod,"Congo, Dem. Rep.",2022,99010212,africa
cog,"Congo, Rep.",2022,5970424,africa
cri,Costa Rica,2022,5180829,americas
civ,Cote d'Ivoire,2022,28160542,africa
hrv,Croatia,2022,4030358,europe
cub,Cuba,2022,11212191,americas
cyp,Cyprus,2022,1251488,europe
cze,Czech Republic,2022,10493986,europe
dnk,Denmark,2022,5882261,europe
dji,Djibouti,2022,1120849,africa
dma,Dominica,2022,72737,americas
dom,Dominican Republic,2022,11228821,americas
ecu,Ecuador,2022,18001000,americas
egy,Egypt,2022,110990103,africa
slv,El Salvador,2022,6336392,americas
gnq,Equatorial Guinea,2022,1674908,africa
eri,Eritrea,2022,3684032,africa
est,Estonia,2022,1326062,europe
eth,Ethiopia,2022,123379924,africa
fji,Fiji,2022,929766,asia
fin,Finland,2022,5540745,europe
fra,France,2022,64626628,europe
gab,Gabon,2022,2388992,africa
gmb,Gambia,2022,2705992,africa
geo,Georgia,2022,3744385,europe
deu,Germany,2022,83369843,europe
gha,Ghana,2022,33475870,africa
grc,Greece,2022,10384971,europe
grd,Grenada,2022,125438,americas
gtm,Guatemala,2022,17843908,americas
gin,Guinea,2022,13859341,africa
gnb,Guinea-Bissau,2022,2105566,africa
guy,Guyana,2022,808726,americas
hti,Haiti,2022,11584996,americas
hos,Holy See,2022,,europe
hnd,Honduras,2022,10432860,americas
hkg,"Hong Kong, China",2022,7488865,asia
hun,Hungary,2022,9967308,europe
isl,Iceland,2022,372899,europe
ind,India,2022,1417173173,asia
idn,Indonesia,2022,275501339,asia
irn,Iran,2022,88550570,asia
irq,Iraq,2022,44496122,asia
irl,Ireland,2022,5023109,europe
isr,Israel,2022,9038309,asia
ita,Italy,2022,59037474,europe
jam,Jamaica,2022,2827377,americas
